,Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D
1130,2023-09-06,1993.44,2000.36,1942.27,1958.07,25918192.0,31.76109022483145,13.153513153513128,2018.6642857142856,2086.9916,-3.753928496979416,50048360.6350966
1131,2023-09-07,1954.96,1963.05,1909.86,1927.39,20120851.0,28.337834384600214,11.492821084376978,2012.4385714285713,2084.6364,-7.522966649700031,43190097.26547839
1132,2023-09-08,1934.89,1946.46,1924.02,1943.99,13364405.0,32.57249364689362,22.375926047335025,2007.3514285714286,2082.274,-8.205999132305251,53612427.36797391
1133,2023-09-11,1951.85,1965.45,1935.43,1941.79,13451525.0,32.30007840981786,20.933586835376694,2002.5085714285717,2079.9022,-8.100046303197914,45860549.20341686
1134,2023-09-12,1944.98,1953.48,1934.03,1949.57,19746973.0,34.389822937862306,26.034222775847404,1998.025,2077.3244,-6.849765059378917,57668122.26202854
1135,2023-09-13,1948.28,1956.91,1937.35,1949.65,20185326.0,34.41224228120777,26.08667147446417,1993.7442857142855,2075.1868,-5.423566754597509,62869249.20681396
1136,2023-09-14,1954.66,1967.77,1948.35,1967.77,18693837.0,39.45837471027726,37.966301711138854,1991.412142857143,2074.24,-2.798238654923118,81563086.20681396
1137,2023-09-15,1973.88,1989.19,1971.31,1975.05,42830658.0,41.40878610391686,42.739133285255406,1986.8214285714287,2073.5314000000003,-0.24434899181177627,56650399.22694813
1138,2023-09-18,1974.14,1981.45,1941.76,1943.94,13778179.0,36.0621880239645,22.34314561069964,1979.8114285714287,2071.6987999999997,-0.31851786616945077,44385771.76234751
1139,2023-09-19,1951.24,1954.49,1924.07,1930.86,16080549.0,34.070349864551886,13.767783386874715,1971.304285714286,2069.4882,-0.884656417627383,35483850.48818572
1140,2023-09-20,1932.86,1979.22,1932.86,1975.57,18236625.0,45.210284220087246,43.08004982626372,1967.6035714285715,2067.9118,1.9605649896582946,50848875.77938496
1141,2023-09-21,1962.98,1962.98,1935.97,1949.56,12918665.0,40.88255341232947,26.027666688520327,1960.3621428571428,2064.613,2.277155813005688,50930185.40730048
1142,2023-09-22,1948.17,1959.09,1936.82,1949.25,15562790.0,40.83238460573924,29.30803571428577,1954.9092857142857,2061.2473999999997,2.6271776213494142,52740137.1854775
1143,2023-09-25,1947.24,1957.09,1918.15,1925.22,15655182.0,37.03816883568866,16.972375690607876,1949.1200000000001,2057.2102,1.4600617468683232,42769707.971301824
1144,2023-09-26,1921.59,1936.37,1900.4,1928.42,15370542.0,37.86616125051611,31.557607838720568,1947.0021428571429,2053.0412,1.1376427170356038,51345931.98965056
1145,2023-09-27,1928.01,1932.96,1898.92,1898.92,13082707.0,33.4933180724596,0.0,1944.9685714285715,2047.7948,-0.7278654814639012,38263224.98965056
1146,2023-09-28,1896.64,1903.33,1873.38,1884.74,30618353.0,31.6040472258708,9.809170192556692,1940.7364285714284,2042.059,-2.4834134915567745,30871883.01335668
1147,2023-09-29,1890.79,1926.94,1890.79,1915.6,22627015.0,39.590365787102535,36.45626457128039,1938.8657142857141,2037.1899999999996,-1.198004078206555,39303028.021655284
1148,2023-10-02,1917.3,1917.3,1873.32,1873.32,16635343.0,33.77204884735376,0.0,1933.4192857142857,2031.5451999999998,-2.7388581884622383,22667685.021655284
1149,2023-10-03,1871.15,1881.62,1854.48,1864.31,20451084.0,32.67017023453627,7.297156855467244,1927.3235714285715,2025.3554000000001,-3.8409293158509072,17031203.50654839
1150,2023-10-04,1857.91,1901.68,1843.38,1879.35,22577547.0,36.40042332170014,24.669089911528573,1921.0078571428571,2019.3072,-3.0666383109681448,22313497.521642596
1151,2023-10-05,1884.53,1893.3,1864.65,1864.65,19196269.0,34.394676149753224,15.405229231549209,1913.122142857143,2013.322,-3.0478173195934346,3117228.5216425955
1152,2023-10-06,1865.28,1889.89,1852.68,1870.43,34993155.0,35.89052314773673,19.913133097762053,1907.8714285714284,2006.9390000000003,-2.1895645771003274,1509104.4944993218
1153,2023-10-09,1869.05,1919.4,1854.01,1909.41,23136281.0,44.99848894901539,48.60865724381626,1906.3392857142858,2001.3424,1.2735735968626614,17576064.583350834
1154,2023-10-10,1919.84,1965.66,1919.84,1960.21,25818178.0,54.142137534465526,95.54301602878635,1905.2421428571429,1996.6754,6.939282123090194,37252423.72259131
1155,2023-10-11,1962.86,1988.44,1956.18,1976.83,31757020.0,56.67954330164781,91.99641527643725,1907.19,1992.4366,11.49140949523575,46151477.06419056
1156,2023-10-12,1980.07,1985.3,1956.34,1960.94,31389565.0,53.62450291590213,81.04232731283606,1908.025,1988.7990000000002,13.006032237347785,24733735.199549958
1157,2023-10-13,1958.96,1986.47,1951.77,1974.56,21731800.0,55.8225122016763,90.43154556735136,1911.5492857142856,1985.454,14.391022777602409,31547625.22836832
1158,2023-10-16,2009.97,2099.3,2009.97,2079.49,56000435.0,68.29134939451923,92.25929978118147,1922.3400000000001,1983.6491999999998,21.416549703692993,62710522.61838241
1159,2023-10-17,2077.32,2150.76,2076.66,2118.37,38033945.0,71.50105359177134,89.4625544928101,1938.0149999999999,1982.9732000000001,27.345196486424424,67494279.26345646
1160,2023-10-18,2111.24,2130.64,2091.92,2094.62,35973845.0,67.03705337306268,81.73596200143135,1953.0064285714286,1982.5982000000001,28.21632506536558,36537447.77068756
1161,2023-10-19,2085.76,2085.76,2047.77,2051.4,25365378.0,59.72898304166288,67.67519031817292,1962.7064285714284,1981.6975999999997,24.564992588071334,16019467.619595282
1162,2023-10-20,2040.64,2049.22,2019.23,2028.92,19866460.0,56.29160229473468,60.361767193701574,1973.820714285714,1979.6644000000001,19.538067777842436,8991020.117094614
1163,2023-10-23,2030.55,2040.92,2015.1,2021.14,16261051.0,55.10954822131802,57.83069815863099,1985.0228571428572,1977.981,14.806056497642821,337772.99315987155
1164,2023-10-24,2028.21,2076.43,2028.21,2059.53,24388044.0,59.61592099750286,69.39412238325284,1997.892857142857,1977.4314000000002,13.419666695972904,7630920.950024541
1165,2023-10-25,2063.14,2105.22,2058.24,2096.22,24066190.0,63.397697249452655,81.70289855072451,2014.4335714285714,1978.4688,14.063848302481375,22476348.497917265
1166,2023-10-26,2080.37,2124.94,2060.12,2120.96,20711828.0,65.72824828253424,89.9578770008424,2032.3285714285714,1980.465,15.152308226931403,40644730.78856829
1167,2023-10-27,2122.38,2131.8,2100.9,2103.73,16329613.0,62.73244897558881,79.63363935562094,2046.2085714285713,1982.2486,13.749211800258141,27306237.839700885
1168,2023-10-30,2108.61,2137.81,2108.61,2126.47,15917983.0,64.999811221789,87.79335645007268,2058.0842857142857,1984.4737999999998,13.37746354328106,30860527.19449517
1169,2023-10-31,2129.76,2169.08,2124.23,2149.73,24550308.0,67.19813912246096,91.09566978049794,2070.434285714286,1987.2766000000001,13.674327236238277,34226957.38847516
1170,2023-11-02,2163.79,2181.6,2141.35,2158.41,23645108.0,68.00572561836475,89.90993342905622,2084.5392857142856,1990.1979999999999,13.413073764654861,30625851.499282546
1171,2023-11-03,2161.79,2187.38,2155.56,2177.29,20128393.0,69.75025858439906,94.31260921030373,2099.02,1993.5522,13.436067668189736,37988972.005882055
1172,2023-11-06,2185.27,2203.59,2174.56,2186.01,17809181.0,70.54899988549067,90.67324526500083,2106.6285714285714,1997.264,12.957005960802256,34228369.88635077
1173,2023-11-07,2179.91,2191.06,2154.48,2168.12,16292337.0,66.66008128653776,81.18202557164825,2110.182142857143,1999.84,10.460659057530222,30086250.310079496
1174,2023-11-08,2165.12,2170.7,2134.8,2140.2,15833450.0,61.00792690397703,66.36956867738328,2113.4378571428574,2001.8024000000003,6.166846378415947,19016066.60534385
1175,2023-11-09,2153.64,2172.27,2130.08,2170.91,19075784.0,64.56676378071813,82.66221019682729,2121.9742857142855,2004.2214000000001,4.699079868839654,36862029.972966395
1176,2023-11-10,2165.75,2169.03,2135.65,2141.09,14654587.0,58.941233313298156,66.84174226749434,2129.986428571429,2006.4956,1.2059737500882406,26984012.971768104
1177,2023-11-13,2147.13,2164.92,2130.91,2132.7,18679333.0,57.42524340020154,59.57919945261701,2137.955,2008.1308,-2.008597726024064,10270925.55071542
1178,2023-11-14,2137.55,2241.24,2137.55,2236.12,26528502.0,68.26171327322955,97.20218579234978,2150.5685714285714,2012.3413999999998,2.259955056330803,34179581.27354313
1179,2023-11-15,2241.03,2264.9,2213.47,2218.61,27299827.0,65.23425839062597,77.39525344271905,2159.3107142857143,2016.5881999999997,3.2723995811992594,12336534.782195982
1180,2023-11-16,2215.59,2239.37,2208.37,2217.16,31370144.0,64.97726116409328,70.89024390243888,2166.182142857143,2021.77,3.2083577369240786,-1243701.7494169958
1181,2023-11-17,2215.3,2230.19,2204.7,2228.28,18257191.0,66.08087913274176,76.56919828523904,2175.078571428571,2027.7878,3.267827808698428,14277417.4726311
1182,2023-11-20,2228.8,2269.24,2226.91,2250.55,22235730.0,68.23940566441303,87.1112337080204,2183.941428571429,2033.9189999999999,4.105714148174727,16877626.863134675
1183,2023-11-21,2248.76,2264.79,2226.06,2240.99,16593956.0,66.28921078918286,79.69962632940498,2190.46,2039.9029999999998,3.346899344999869,13077255.323759368
1184,2023-11-22,2237.93,2245.89,2226.39,2241.16,15162106.0,66.30765031663034,79.82178787007764,2196.3707142857143,2045.7347999999997,2.240399133047852,20883796.05401575
1185,2023-11-23,2243.16,2250.0,2223.46,2225.6,11940406.0,62.91543489110393,68.64041391204375,2199.8214285714284,2051.2538,-0.0349771624864772,10868971.729976451
1186,2023-11-24,2224.79,2237.38,2218.07,2228.01,16787565.0,63.229207414648016,70.37223340040269,2202.8214285714284,2056.4586,-1.7768202181930945,11364513.524383638
1187,2023-11-27,2226.59,2231.31,2196.75,2208.05,15823961.0,58.79239516425684,56.029031330842436,2205.6735714285714,2061.1186,-4.516496091103036,5888397.391281969
1188,2023-11-28,2203.89,2242.91,2203.89,2239.69,18902719.0,63.20053569521622,78.76544984190876,2212.7799999999997,2067.0336,-4.434690445067567,21671344.21393721
1189,2023-11-29,2227.16,2234.47,2204.57,2222.44,31058211.0,59.46561583248713,66.16785946649335,2216.4607142857144,2072.8652,-5.698661258755536,27737563.352398977
1190,2023-11-30,2221.96,2234.12,2215.25,2215.25,40654424.0,57.928945778838695,60.97014385888831,2221.757857142857,2077.6588,-7.084885146975168,-12916860.647601023
1191,2023-12-01,2215.16,2287.62,2215.16,2285.98,20060199.0,66.97104047380466,98.90717665089633,2232.7064285714287,2084.3872,-3.4862464959807227,6235286.286155604
1192,2023-12-04,2281.69,2299.96,2273.8,2281.04,12961160.0,65.90563196911386,81.66844298033129,2235.915,2091.0229999999997,-1.7729759229195352,448346.34731750656
1193,2023-12-05,2274.56,2316.04,2273.02,2298.78,19136348.0,67.88166194222697,85.53105876435596,2241.6414285714286,2098.4942,0.12019557620666177,4229354.204128496
1194,2023-12-06,2302.28,2329.05,2297.34,2309.81,20036714.0,69.0815352290437,85.45729402872244,2248.259285714286,2106.1220000000003,1.598391837980273,-48430.5256100269
