Date,Open,High,Low,Close,Volume,RSI,Stochastic Oscillator,SMAs,SMAm,MACD,A/D,Target,TargetClass,TargetNextClose
2019-07-22,2345.61,2350.82,2335.3,2342.51,18652552.0,59.15737634481234,75.07751365716868,2328.656428571429,2273.0364,-1.6201466615223374,10024690.731761558,-9.900000000000091,0,2335.86
2019-07-23,2345.76,2348.43,2332.5,2335.86,20204415.0,56.63491875833034,65.25911708253398,2327.9635714285714,2276.2942,-1.3640781430998885,-1656581.2173905745,-1.2699999999999818,0,2335.41
2019-07-24,2336.68,2338.95,2327.66,2335.41,22510591.0,56.4594792554728,64.59471430680642,2326.457857142857,2279.7236000000003,-1.2716085654002551,6737536.418570552,-30.730000000000018,0,2310.31
2019-07-25,2341.04,2344.39,2308.32,2310.31,20967100.0,47.60193030033409,31.52467883705205,2324.1935714285714,2282.5462,-2.8567342023340743,-11916032.724762091,-5.720000000000255,0,2305.79
2019-07-26,2311.51,2314.19,2299.39,2305.79,18087768.0,46.19641881192387,23.88438133874245,2321.816428571429,2284.8934000000004,-4.090370517723358,-14360325.697735036,-21.15000000000009,0,2285.93
2019-07-29,2307.08,2309.53,2282.08,2285.93,15794970.0,40.53339589683858,5.600814663950969,2319.909285714285,2286.925,-6.008671062864936,-25724648.375330813,-9.799999999999727,0,2263.92
2019-07-30,2273.72,2282.3,2263.92,2263.92,23157688.0,35.35997887522359,0.0,2316.42,2288.6932,-8.379058399073383,-48882336.37533081,12.730000000000018,1,2277.37
2019-07-31,2264.64,2285.25,2263.61,2277.37,29655346.0,40.36868774206328,15.778007109276182,2313.592857142857,2290.422,-8.626473428527854,-40824414.26442551,-32.45999999999958,0,2240.78
2019-08-01,2273.24,2280.8,2236.98,2240.78,27029469.0,32.89999014375613,3.3380182712580613,2308.2657142857142,2290.9504,-10.704055059774744,-63165979.0106599,-16.409999999999854,0,2216.51
2019-08-02,2232.92,2233.03,2216.51,2216.51,19929333.0,29.059548611616837,0.0,2300.572857142857,2291.8188,-13.009209073733189,-83095312.0106599,-47.75,0,2164.14
2019-08-05,2211.89,2211.89,2164.06,2164.14,25318260.0,22.858887895312165,0.0428357249946065,2289.3314285714287,2291.3376000000003,-17.09978680017207,-108328877.85218205,-12.849999999999909,0,2156.23
2019-08-06,2169.08,2182.2,2155.33,2156.23,28115391.0,22.09211800282989,0.4603816051972427,2278.5857142857144,2290.669,-19.21869147002708,-134560841.09632027,-24.980000000000018,0,2138.23
2019-08-07,2163.21,2173.56,2124.85,2138.23,28871726.0,20.41401330750736,5.921139974332918,2265.5014285714287,2289.5762,-20.59083012407041,-147571195.96595678,5.710000000000036,1,2158.88
2019-08-08,2153.17,2169.27,2152.26,2158.88,22715284.0,27.2420290193905,15.059521175377334,2252.276428571429,2289.0048,-18.909497157566697,-152605682.7784201,-37.73000000000002,0,2127.61
2019-08-09,2165.34,2165.83,2119.89,2127.61,26950992.0,23.898392195624552,3.377964470114753,2236.9264285714285,2287.1258,-18.672760123646952,-170498700.9760689,-24.820000000000164,0,2109.73
2019-08-12,2134.55,2140.84,2104.12,2109.73,16353035.0,22.21908504903682,2.334873267574032,2220.7742857142857,2284.5342,-18.45680046435397,-181854975.2816244,45.01999999999998,1,2140.19
2019-08-13,2095.17,2153.16,2085.61,2140.19,26859051.0,31.101268635072216,21.091274441610626,2206.83,2282.5838,-15.13817197251786,-165310117.9594925,-55.89000000000033,0,2078.39
2019-08-14,2134.28,2134.48,2078.39,2078.39,25515986.0,24.890749188772844,0.0,2190.264285714286,2279.4766,-15.902133462197618,-190826103.9594925,-21.220000000000255,0,2064.12
2019-08-16,2085.34,2096.94,2055.7,2064.12,27565519.0,23.713248795666477,3.3171807902927397,2173.002142857142,2276.2936,-16.11543739562046,-207135479.8954769,23.429999999999836,1,2102.23
2019-08-19,2078.8,2110.19,2078.8,2102.23,19005749.0,32.849573510588584,20.270093661511723,2159.8807142857145,2273.1194,-12.592918523721067,-197768836.4730495,5.140000000000327,1,2110.11
2019-08-20,2104.97,2116.59,2087.21,2110.11,23036456.0,34.59384067898441,23.702896972337296,2148.894285714286,2269.7096,-8.814020720918485,-184894139.1442544,-2.4899999999997817,0,2105.88
2019-08-21,2108.37,2129.57,2103.87,2105.88,16864747.0,34.082054177882526,22.29231452687704,2136.645,2266.177,-5.825268610983024,-199120898.4812191,-0.8299999999999272,0,2108.05
2019-08-22,2108.88,2126.87,2097.0,2108.05,22403019.0,34.6164494365445,29.521231602097924,2127.164285714286,2262.426,-3.066729824023703,-204948533.4872449,-11.480000000000018,0,2103.68
2019-08-23,2115.16,2128.1,2081.07,2103.68,16625572.0,34.01834300371232,30.718996094500287,2119.105,2258.8436,-1.007469273177776,-205588386.46024105,6.079999999999927,1,2098.41
2019-08-26,2092.33,2109.42,2077.82,2098.41,14030010.0,33.27174740649994,33.7628458498024,2114.41,2254.8078000000005,0.4504077145291418,-201334984.6944185,-5.7400000000002365,0,2095.45
2019-08-27,2101.19,2107.0,2076.51,2095.45,47792244.0,32.83584799322361,33.72645511623957,2110.0685714285714,2250.9876,1.601317048002464,-189751361.10766956,-47.440000000000055,0,2051.44
2019-08-28,2098.88,2107.28,2044.86,2051.44,21934128.0,27.142097615408037,5.288963909653686,2103.869285714285,2246.4844,-0.1238723914749044,-207061119.92343363,18.460000000000036,1,2069.33
2019-08-29,2050.87,2075.4,2047.94,2069.33,18065804.0,32.28247405965203,20.22815574109285,2097.4728571428573,2241.3678000000004,0.3892881791627047,-196982164.4507463,62.59999999999991,1,2135.25
2019-08-30,2072.65,2136.79,2069.86,2135.25,26051393.0,47.09439773206139,83.46260387811648,2098.0185714285712,2237.6786,5.342777573681197,-172129610.39352232,6.130000000000109,1,2144.48
2019-09-02,2138.35,2147.13,2131.32,2144.48,10916739.0,48.78362621133772,91.98522622345352,2100.5007142857144,2234.4018,9.18970831958346,-164872499.26828527,-33.57999999999993,0,2107.16
2019-09-03,2140.74,2140.74,2097.66,2107.16,18870993.0,42.82906284714719,60.91718001368909,2098.1414285714286,2229.9234,9.149749620825505,-175420630.91731033,-19.329999999999927,0,2102.73
2019-09-04,2122.06,2136.41,2102.36,2102.73,29898106.0,42.17104603503397,56.58550894690525,2099.88,2225.9118,8.753767453506725,-204668968.9748729,-4.579999999999927,0,2106.89
2019-09-05,2111.47,2122.76,2088.88,2106.89,24072521.0,43.05579936695407,60.65317297350136,2102.935,2221.7062,8.683636838417627,-203148449.6437045,11.549999999999727,1,2122.6
